2026-05-12 00:01:58,251 | WARNING | psycopg.pool — error connecting in 'pool-1': Psycopg cannot use the 'ProactorEventLoop' to run in async mode. Please use a compatible event loop, for instance by setting 'asyncio.set_event_loop_policy(WindowsSelectorEventLoopPolicy())'
2026-05-12 00:01:58,252 | WARNING | psycopg.pool — error connecting in 'pool-1': Psycopg cannot use the 'ProactorEventLoop' to run in async mode. Please use a compatible event loop, for instance by setting 'asyncio.set_event_loop_policy(WindowsSelectorEventLoopPolicy())'
2026-05-12 00:01:59,189 | WARNING | psycopg.pool — error connecting in 'pool-1': Psycopg cannot use the 'ProactorEventLoop' to run in async mode. Please use a compatible event loop, for instance by setting 'asyncio.set_event_loop_policy(WindowsSelectorEventLoopPolicy())'
2026-05-12 00:01:59,191 | WARNING | psycopg.pool — error connecting in 'pool-1': Psycopg cannot use the 'ProactorEventLoop' to run in async mode. Please use a compatible event loop, for instance by setting 'asyncio.set_event_loop_policy(WindowsSelectorEventLoopPolicy())'
2026-05-12 00:02:01,051 | WARNING | psycopg.pool — error connecting in 'pool-1': Psycopg cannot use the 'ProactorEventLoop' to run in async mode. Please use a compatible event loop, for instance by setting 'asyncio.set_event_loop_policy(WindowsSelectorEventLoopPolicy())'
2026-05-12 00:02:01,052 | WARNING | psycopg.pool — error connecting in 'pool-1': Psycopg cannot use the 'ProactorEventLoop' to run in async mode. Please use a compatible event loop, for instance by setting 'asyncio.set_event_loop_policy(WindowsSelectorEventLoopPolicy())'
2026-05-12 00:02:04,763 | WARNING | psycopg.pool — error connecting in 'pool-1': Psycopg cannot use the 'ProactorEventLoop' to run in async mode. Please use a compatible event loop, for instance by setting 'asyncio.set_event_loop_policy(WindowsSelectorEventLoopPolicy())'
2026-05-12 00:02:04,768 | WARNING | psycopg.pool — error connecting in 'pool-1': Psycopg cannot use the 'ProactorEventLoop' to run in async mode. Please use a compatible event loop, for instance by setting 'asyncio.set_event_loop_policy(WindowsSelectorEventLoopPolicy())'
2026-05-12 00:02:12,161 | WARNING | psycopg.pool — error connecting in 'pool-1': Psycopg cannot use the 'ProactorEventLoop' to run in async mode. Please use a compatible event loop, for instance by setting 'asyncio.set_event_loop_policy(WindowsSelectorEventLoopPolicy())'
2026-05-12 00:02:12,207 | WARNING | psycopg.pool — error connecting in 'pool-1': Psycopg cannot use the 'ProactorEventLoop' to run in async mode. Please use a compatible event loop, for instance by setting 'asyncio.set_event_loop_policy(WindowsSelectorEventLoopPolicy())'
2026-05-12 00:02:26,987 | WARNING | psycopg.pool — error connecting in 'pool-1': Psycopg cannot use the 'ProactorEventLoop' to run in async mode. Please use a compatible event loop, for instance by setting 'asyncio.set_event_loop_policy(WindowsSelectorEventLoopPolicy())'
2026-05-12 00:02:27,080 | WARNING | psycopg.pool — error connecting in 'pool-1': Psycopg cannot use the 'ProactorEventLoop' to run in async mode. Please use a compatible event loop, for instance by setting 'asyncio.set_event_loop_policy(WindowsSelectorEventLoopPolicy())'
2026-05-12 00:02:50,842 | INFO | __main__ — ✅ PostgreSQL pool tayyor
2026-05-12 00:02:50,977 | INFO | __main__ — 🚀 Bot ishga tushdi!
2026-05-12 00:02:50,978 | INFO | aiogram.dispatcher — Start polling
2026-05-12 00:02:51,271 | INFO | aiogram.dispatcher — Run polling for bot @daily_money_finance_bot id=8373243607 - 'FINANCE AI'
2026-05-12 00:05:32,951 | INFO | aiogram.dispatcher — Polling stopped
2026-05-12 00:05:33,183 | ERROR | aiogram.dispatcher — Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectionError: Connector is closed.
2026-05-12 00:05:33,183 | WARNING | aiogram.dispatcher — Sleep for 1.000000 seconds and try again... (tryings = 0, bot id = 8373243607)
2026-05-12 00:05:33,442 | INFO | __main__ — 👋 Bot to'xtatildi.
2026-05-12 00:05:33,446 | INFO | aiogram.dispatcher — Polling stopped for bot @daily_money_finance_bot id=8373243607 - 'FINANCE AI'
2026-05-12 00:05:33,960 | INFO | [User: Python] | __main__ — Bot tizimi yuklanmoqda...
2026-05-12 00:05:36,456 | INFO | [User: Python] | __main__ — ✅ PostgreSQL pool tayyor
2026-05-12 00:05:36,590 | INFO | [User: Python] | __main__ — 🚀 Bot ishga tushdi!
2026-05-12 00:05:36,590 | INFO | [User: Python] | aiogram.dispatcher — Start polling
2026-05-12 00:05:36,955 | INFO | [User: Python] | aiogram.dispatcher — Run polling for bot @daily_money_finance_bot id=8373243607 - 'FINANCE AI'
2026-05-16 22:00:23,134 | INFO | [User: Python] | __main__ — Bot tizimi yuklanmoqda...
2026-05-16 22:00:31,687 | INFO | [User: Python] | __main__ — ✅ PostgreSQL pool tayyor
2026-05-16 22:00:31,877 | INFO | [User: Python] | __main__ — 🚀 Bot ishga tushdi!
2026-05-16 22:00:31,878 | INFO | [User: Python] | aiogram.dispatcher — Start polling
2026-05-16 22:00:32,504 | INFO | [User: Python] | aiogram.dispatcher — Run polling for bot @daily_money_finance_bot id=8373243607 - 'FINANCE AI'
2026-05-16 22:00:55,056 | INFO | [User: Python] | aiogram.event — Update id=437343086 is handled. Duration 1016 ms by bot id=8373243607
2026-05-16 22:00:58,173 | INFO | [User: Python] | aiogram.event — Update id=437343087 is handled. Duration 140 ms by bot id=8373243607
2026-05-16 22:01:00,860 | INFO | [User: Python] | aiogram.event — Update id=437343088 is handled. Duration 625 ms by bot id=8373243607
2026-05-16 22:01:09,047 | INFO | [User: Python] | aiogram.event — Update id=437343089 is handled. Duration 280 ms by bot id=8373243607
2026-05-16 22:01:11,150 | INFO | [User: Python] | aiogram.event — Update id=437343090 is handled. Duration 234 ms by bot id=8373243607
2026-05-16 22:10:45,893 | ERROR | [User: Python] | aiogram.dispatcher — Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientOSError: [WinError 10054] Удаленный хост принудительно разорвал существующее подключение
2026-05-16 22:10:45,904 | WARNING | [User: Python] | aiogram.dispatcher — Sleep for 1.000000 seconds and try again... (tryings = 0, bot id = 8373243607)
2026-05-16 22:10:57,741 | INFO | [User: Python] | aiogram.dispatcher — Connection established (tryings = 1, bot id = 8373243607)
2026-05-16 22:13:56,340 | ERROR | [User: Python] | aiogram.dispatcher — Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-05-16 22:13:56,343 | WARNING | [User: Python] | aiogram.dispatcher — Sleep for 1.000000 seconds and try again... (tryings = 0, bot id = 8373243607)
2026-05-16 22:14:01,778 | ERROR | [User: Python] | aiogram.dispatcher — Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-05-16 22:14:01,779 | WARNING | [User: Python] | aiogram.dispatcher — Sleep for 1.232836 seconds and try again... (tryings = 1, bot id = 8373243607)
2026-05-16 22:14:07,609 | ERROR | [User: Python] | aiogram.dispatcher — Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-05-16 22:14:07,609 | WARNING | [User: Python] | aiogram.dispatcher — Sleep for 1.762823 seconds and try again... (tryings = 2, bot id = 8373243607)
2026-05-16 22:14:14,263 | ERROR | [User: Python] | aiogram.dispatcher — Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-05-16 22:14:14,263 | WARNING | [User: Python] | aiogram.dispatcher — Sleep for 2.223963 seconds and try again... (tryings = 3, bot id = 8373243607)
2026-05-16 22:14:19,335 | INFO | [User: Python] | aiogram.dispatcher — Connection established (tryings = 4, bot id = 8373243607)
2026-05-16 22:14:19,882 | INFO | [User: Python] | aiogram.event — Update id=437343091 is handled. Duration 530 ms by bot id=8373243607
